잔여표시관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,잔여표시관리번호,연번-이력ID,위치정보,FRM_CDE,MNG_AGEN,XGEO,A074_RGB_CDE
25-0000020846,02-0000067661,-,20220715  ,20220715  ,-,-,관급,001,002,1  ,4382522    ,001,2023-0101-036,25-020846,23163,-,001,-,,001
25-0000005767,02-0000060019,0  ,20100217,20100217,201402.22041,551744.13064,.,006,001,0  ,-,001,2014-0101-030,25-005767,4039,1,003,-,,001
25-0000020845,02-0000067662,-,20220715  ,20220715  ,-,-,관급,001,002,1  ,4382622    ,001,2023-0101-036,25-020845,23162,-,001,-,,001
25-0000009795,02-0000054474,205,20000101  ,20000101  ,197060.824999983,546889.368743554,-,001,002,0  ,3240722    ,001,-,25-009795,12112,1,-,-,,001
25-0000009954,02-0000177318,341,20131122  ,20131122  ,184913.7265,545885.49918,양광시스템,006,002,1  ,1108424    ,001,2013-0111-012,25-009954,12271,1,001,-,,001
25-0000009952,02-0000177317,255,20131122  ,20131122  ,184922.66496,545858.92375,양광시스템,006,002,1  ,1108423    ,001,2013-0111-012,25-009952,12269,1,001,-,,001
25-0000010531,02-0000085430,117,20130820  ,20130820  ,205767.245205192,561422.626740012,아이엔티티,006,002,0  ,5429133    ,001,2013-0101-032,25-010531,12848,1,001,-,,001
25-0000010547,02-0000090000,268,20130820,20130820,205869.65329,563046.21372,진우산전(주),006,001,1  ,5522351    ,001,2013-0101-034,25-010547,12864,1,001,-,,001
25-0000010551,02-0000084591,203,20131205  ,20131205  ,205527.99970602,561854.421210165,아이엔티티,006,002,1  ,5510721    ,001,2014-0101-018,25-010551,12868,1,001,-,,001
25-0000018238,02-0000218385,-,20210618  ,20211219  ,193785.738144481,559213.972080284,태대,001,002,1  ,24842910   ,001,2021-0501-008,25-018238,20555,-,002,-,,001
